date,sp500,btc,ln_sp500,ln_btc
4/1/11,"1,364",3.5,7.217890863,1.252762968
5/1/11,"1,345",8.7,7.204297943,2.165800004
6/1/11,"1,321",16.2,7.185871758,2.784101123
7/1/11,"1,292",13.4,7.164163402,2.593230727
8/1/11,"1,219",8.2,7.1056959,2.104030706
9/1/11,"1,131",5.1,7.031228799,1.637769926
10/1/11,"1,253",3.3,7.133535391,1.183289843
11/1/11,"1,247",3,7.128463837,1.087228251
12/1/11,"1,258",4.7,7.136960403,1.550601786
1/1/12,"1,312",5.5,7.179620447,1.711673203
2/1/12,"1,366",4.9,7.219407792,1.583658204
3/1/12,"1,408",4.9,7.250259267,1.587146673
4/1/12,"1,398",4.9,7.242733567,1.597793743
5/1/12,"1,310",5.2,7.178034259,1.645121555
6/1/12,"1,362",6.7,7.216826979,1.899182001
7/1/12,"1,379",9.3,7.229345864,2.232269748
8/1/12,"1,407",10.1,7.248916474,2.312773991
9/1/12,"1,441",12.4,7.272863593,2.517020637
10/1/12,"1,412",11.1,7.25287575,2.411087134
11/1/12,"1,416",12.6,7.255718423,2.532596123
12/1/12,"1,426",13.5,7.262761791,2.606058261
1/1/13,"1,498",20.5,7.311959583,3.020992678
2/1/13,"1,515",33.4,7.32295951,3.507815924
3/1/13,"1,569",93.9,7.358314804,4.542222276
4/1/13,"1,598",139,7.37623897,4.935406215
5/1/13,"1,631",128,7.396789172,4.850595555
6/1/13,"1,606",89,7.381676244,4.49402528
7/1/13,"1,686",98,7.429953972,4.585216631
8/1/13,"1,633",128,7.398155704,4.854978873
9/1/13,"1,682",126,7.427471295,4.836998014
10/1/13,"1,757",203,7.471101266,5.314602294
11/1/13,"1,806","1,119",7.498764556,7.020455834
12/1/13,"1,848",730,7.52205403,6.5924383
1/1/14,"1,783",803,7.485822623,6.688650559
2/1/14,"1,859",551,7.528035998,6.312269639
3/1/14,"1,872",455,7.534944246,6.121078112
4/1/14,"1,884",449,7.541125889,6.106746047
