date,btc,sp500,ln_btc,ln_sp500
9/15/14,398.821014,2010.400024,5.98851273,7.606088998
9/22/14,377.181,1982.849976,5.932725178,7.592290471
9/29/14,320.51001,1967.900024,5.769913508,7.584722276
10/6/14,378.549011,1906.130005,5.936345552,7.55283029
10/13/14,389.54599,1886.76001,5.964981933,7.542616357
10/20/14,354.70401,1964.579956,5.871283667,7.583033739
10/27/14,325.891998,2018.050049,5.786566032,7.609887002
11/3/14,363.264008,2031.920044,5.895129865,7.616736459
11/10/14,387.881989,2039.819946,5.960701141,7.620616821
11/17/14,367.572998,2063.5,5.906921933,7.632158849
11/24/14,378.046997,2067.560059,5.935018519,7.634124476
12/1/14,375.095001,2075.370117,5.92717933,7.637894786
12/8/14,351.631989,2002.329956,5.862585143,7.602066759
12/15/14,320.842987,2070.649902,5.770951866,7.635617799
12/22/14,317.239014,2088.77002,5.759655477,7.644330665
12/29/14,264.195007,2058.199951,5.576687493,7.62958707
1/5/15,265.660004,2044.810059,5.582217311,7.623060183
1/12/15,210.339005,2019.420044,5.348720539,7.610565642
1/19/15,253.718002,2051.820068,5.536223422,7.626482516
1/26/15,226.972,1994.98999,5.424826662,7.598394312
2/2/15,223.412003,2055.469971,5.409017614,7.628259797
2/9/15,234.824997,2096.98999,5.458840543,7.648258257
2/16/15,235.977005,2110.300049,5.463734364,7.65458542
2/23/15,260.201996,2104.5,5.561458237,7.651833188
3/2/15,274.354004,2071.26001,5.614419258,7.635912402
3/9/15,286.393005,2053.399902,5.657365011,7.627252187
3/16/15,267.959991,2108.100098,5.590837682,7.653542393
3/23/15,242.712997,2061.02002,5.491879663,7.630956295
3/30/15,260.597992,2066.959961,5.562978959,7.633834189
4/6/15,236.153,2102.060059,5.4644799,7.650673123
4/13/15,222.600006,2081.179932,5.405376466,7.640690287
4/20/15,219.429993,2117.689941,5.391033243,7.658081123
4/27/15,240.358002,2108.290039,5.482129487,7.65363249
5/4/15,240.296005,2116.100098,5.481871518,7.657330097
5/11/15,236.802002,2122.72998,5.467224357,7.660458266
5/18/15,240.953003,2126.060059,5.484601906,7.662025808
5/25/15,230.190002,2107.389893,5.438905064,7.653205443
6/1/15,222.880997,2092.830078,5.406637983,7.646272533
6/8/15,233.542999,2094.110107,5.45336621,7.646883972
6/15/15,243.944,2109.98999,5.496938691,7.654438482
6/22/15,249.011002,2101.48999,5.51749708,7.650401891
6/29/15,271.912994,2076.780029,5.60548214,7.63857391
7/6/15,310.867004,2076.620117,5.739365181,7.638496907
7/13/15,273.614014,2126.639893,5.611718405,7.662298498
7/20/15,292.686005,2079.649902,5.679100379,7.639954842
7/27/15,282.614014,2103.840088,5.644082059,7.651519567
8/3/15,265.083008,2077.570068,5.580043015,7.638954253
8/10/15,258.506989,2091.540039,5.55492273,7.645655934
8/17/15,228.169006,1970.890015,5.430086609,7.586240504
8/24/15,228.761002,1988.869995,5.432677799,7.595321915
8/31/15,239.839996,1921.219971,5.479972018,7.560715665
9/7/15,230.511993,1961.050049,5.440302891,7.581235348
9/14/15,231.212006,1958.030029,5.443335065,7.57969416
9/21/15,232.757004,1931.339966,5.449995008,7.565969324
9/28/15,238.259003,1951.359985,5.47335833,7.576281837
10/5/15,247.050003,2014.890015,5.509590757,7.60831989
10/12/15,261.643005,2033.109985,5.566980998,7.617321912
10/19/15,283.679993,2075.149902,5.647846818,7.637788672
10/26/15,325.431,2079.360107,5.785150458,7.639815484
11/2/15,373.368011,2099.199951,5.922564558,7.649311575
11/9/15,320.165985,2023.040039,5.768839564,7.612356629
11/16/15,324.536011,2089.169922,5.782396504,7.6445221
11/23/15,371.294006,2090.110107,5.916994218,7.644972026
11/30/15,388.78299,2091.689941,5.963021322,7.645727602
12/7/15,433.755005,2012.369995,6.07247987,7.607068408
12/14/15,442.684998,2005.550049,6.092858452,7.603673641
12/21/15,422.822998,2060.98999,6.046953647,7.630941724
12/28/15,430.010986,2043.939941,6.063810757,7.622634568
1/4/16,447.990997,1922.030029,6.104773136,7.561137213
1/11/16,382.299011,1880.329956,5.946203054,7.539202549
1/18/16,402.971008,1906.900024,5.998864619,7.553234178
1/25/16,368.766998,1940.23999,5.910165003,7.570566951
2/1/16,376.619995,1880.050049,5.931236708,7.539053677
2/8/16,407.230011,1864.780029,6.009378163,7.530898378
2/15/16,438.798004,1917.780029,6.08403918,7.558923561
2/22/16,433.503998,1948.050049,6.071901019,7.574584176
2/29/16,407.707001,1999.98999,6.010548782,7.600897455
3/7/16,414.065002,2022.189941,6.026022971,7.611936332
3/14/16,413.755005,2049.580078,6.025274023,7.625390211
3/21/16,426.765015,2035.939941,6.056233546,7.618712879
3/28/16,420.903992,2072.780029,6.04240476,7.636645994
4/4/16,421.563995,2047.599976,6.043971593,7.624423643
4/11/16,427.398987,2080.72998,6.057717973,7.640474063
4/18/16,458.554993,2091.580078,6.128080226,7.645675078
4/25/16,451.875,2065.300049,6.113405593,7.633030797
5/2/16,458.548004,2057.139893,6.128064984,7.629071896
5/9/16,457.567993,2046.609985,6.125925492,7.623940037
5/16/16,439.322998,2052.320068,6.085234901,7.626726173
5/23/16,526.232971,2099.060059,6.265744025,7.649244933
5/30/16,574.97699,2099.129883,6.354330023,7.649278196
6/6/16,672.783997,2096.070068,6.511424323,7.647819474
6/13/16,763.781006,2071.219971,6.638281107,7.635893071
6/20/16,629.367004,2037.410034,6.444714559,7.619434689
6/27/16,658.664001,2102.949951,6.490213543,7.651096377
7/4/16,649.359985,2129.899902,6.475987239,7.663830263
7/11/16,679.458984,2161.73999,6.52129687,7.678668727
7/18/16,661.284973,2175.030029,6.494184871,7.68479775
7/25/16,624.68103,2173.600098,6.437241167,7.684140103
8/1/16,592.690002,2182.870117,6.3846715,7.688395857
8/8/16,570.473022,2184.050049,6.34646588,7.688936253
8/15/16,581.307983,2183.870117,6.365280708,7.688853865
8/22/16,573.911987,2169.040039,6.352476052,7.68203997
8/29/16,608.633972,2179.97998,6.411217056,7.687070972
9/5/16,606.718994,2127.810059,6.408065742,7.662848588
9/12/16,609.874023,2139.159912,6.413252416,7.668168466
9/19/16,600.825989,2164.689941,6.398305357,7.680032416
9/26/16,610.892029,2168.27002,6.414920232,7.681684903
10/3/16,616.752014,2153.73999,6.424467021,7.67496114
10/10/16,641.630981,2132.97998,6.464013342,7.665275333
10/17/16,657.070984,2141.159912,6.487792055,7.669102976
10/24/16,701.864014,2126.409912,6.553739673,7.662190349
10/31/16,711.521973,2085.179932,6.5674063,7.642610429
11/7/16,702.031006,2164.449951,6.553977571,7.679921544
11/14/16,731.026001,2181.899902,6.594449028,7.687951291
11/21/16,732.034973,2213.350098,6.59582829,7.702262528
11/28/16,773.872009,2191.949951,6.651406497,7.692546815
12/5/16,769.731018,2259.530029,6.646041127,7.722912119
12/12/16,790.530029,2258.070068,6.672703643,7.722265775
12/19/16,896.182983,2263.790039,6.798144614,7.724795696
12/26/16,998.325012,2238.830078,6.906078887,7.713708722
1/2/17,911.198975,2276.97998,6.814761287,7.730605274
1/9/17,821.797974,2274.639893,6.711494591,7.72957703
1/16/17,924.672974,2271.310059,6.829440133,7.728112063
1/23/17,919.495972,2294.689941,6.823825663,7.738353011
1/30/17,1027.339966,2297.419922,6.934728183,7.739541999
2/6/17,999.18103,2316.100098,6.906935973,7.747640058
2/13/17,1047.869995,2351.159912,6.954514807,7.762664065
2/20/17,1165.199951,2367.340088,7.060647983,7.769522278
2/27/17,1267.119995,2383.120117,7.144501884,7.776165882
3/6/17,1221.380005,2372.600098,7.10773665,7.771741721
3/13/17,1036.73999,2378.25,6.943836444,7.774120202
3/20/17,966.724976,2343.97998,6.873914045,7.75960561
3/27/17,1102.170044,2362.719971,7.005036283,7.767568764
4/3/17,1187.869995,2355.540039,7.079917062,7.764525296
4/10/17,1182.939941,2328.949951,7.075758094,7.75317278
4/17/17,1207.209961,2348.689941,7.096067159,7.76161298
4/24/17,1347.890015,2384.199951,7.206295697,7.776618897
